,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
CROYDON,Croydon (Port Adelaide),363,42,195,126,190,36,134,20,190,101,66,23,101,57,26,8,23,3,1,0,2,33,25,3,5,8,79,20,13,1,6,15,5,7,3,27,13,3,11,17,1
CROYDON,Kilkenny,472,61,240,171,286,50,187,49,217,110,81,26,53,28,10,2,16,6,3,1,2,17,13,1,3,2,92,26,7,3,16,19,5,7,7,23,12,6,5,24,5
CROYDON,Kilkenny North (Port Adelaide),419,94,185,140,169,41,108,20,132,75,40,17,41,24,10,1,13,5,3,2,0,8,5,1,2,4,97,27,9,5,13,19,5,8,6,22,10,4,8,29,2
CROYDON,Mansfield Park,873,256,367,250,221,92,86,43,156,97,42,17,48,32,13,10,9,4,1,3,0,10,6,1,3,2,142,48,17,9,22,31,9,13,9,26,11,7,8,37,6
CROYDON,Regency Park,409,97,153,159,143,43,75,25,111,54,41,16,39,21,7,4,10,3,1,0,2,9,8,0,1,6,82,23,7,3,13,15,3,2,10,25,7,6,12,19,0
CROYDON,West Croydon,591,96,289,206,310,59,198,53,286,159,91,36,116,79,37,5,37,8,5,3,0,23,16,3,4,6,131,44,20,5,19,20,4,12,4,37,17,8,12,30,5
CROYDON,Woodville Gardens,1551,380,614,557,327,133,139,55,240,125,75,40,102,79,32,19,28,5,1,1,3,13,7,1,5,5,221,70,23,23,24,43,14,11,18,44,15,10,19,64,9
DAVENPORT,Aberfoyle Park,625,95,393,137,784,110,578,96,578,297,216,65,122,72,28,9,35,11,5,1,5,30,22,0,8,9,207,42,18,9,15,46,11,26,9,67,20,17,30,52,1
DAVENPORT,Aberfoyle Park North,694,88,374,232,1001,125,458,418,679,334,269,76,175,99,47,18,34,12,7,3,2,58,31,13,14,6,278,59,20,12,27,74,20,29,25,89,28,26,35,56,1
DAVENPORT,Aberfoyle Park South,287,39,170,78,361,49,253,59,266,134,93,39,79,36,20,3,13,8,4,2,2,29,19,5,5,6,125,29,7,10,12,30,4,16,10,30,4,11,15,36,0
DAVENPORT,Bellevue Heights,287,41,168,78,568,56,426,86,356,158,159,39,129,83,40,9,34,5,2,3,0,37,24,8,5,4,112,19,8,3,8,28,3,8,17,47,21,13,13,18,0
DAVENPORT,Flagstaff Hill East,189,43,95,51,396,60,290,46,275,121,128,26,75,41,24,3,14,4,2,2,0,27,16,7,4,3,82,16,5,5,6,31,5,14,12,18,5,7,6,17,0
DAVENPORT,Happy Valley (Boothby),127,21,67,39,165,28,113,24,115,47,60,8,43,27,12,3,12,4,3,0,1,11,8,2,1,1,79,20,5,5,10,21,7,5,9,20,3,7,10,18,0
DAVENPORT,O'Halloran Hill,872,108,467,297,687,105,513,69,523,259,187,77,145,85,41,15,29,8,3,2,3,41,27,4,10,11,272,59,16,11,32,67,19,27,21,91,29,24,38,55,0
DAVENPORT,Cherry Gardens,60,6,44,10,239,32,175,32,167,79,62,26,39,14,5,3,6,4,3,1,0,19,17,0,2,2,36,4,1,0,3,11,2,5,4,13,2,4,7,8,0
DAVENPORT,Happy Valley (Mayo),183,23,119,41,353,41,250,62,243,124,87,32,45,26,14,3,9,3,1,2,0,13,9,4,0,3,105,20,7,6,7,28,3,14,11,32,10,6,16,25,1
DUNSTAN,Dulwich,193,26,83,84,705,76,515,114,159,66,80,13,85,44,22,2,20,9,6,1,2,28,24,2,2,4,49,14,8,4,2,19,5,6,8,12,7,3,2,4,0
DUNSTAN,Marden (Adelaide),120,21,54,45,151,21,95,35,79,41,30,8,42,25,13,3,9,4,1,0,3,10,10,0,0,3,29,8,3,2,3,6,2,1,3,12,6,2,4,3,0
DUNSTAN,Maylands,317,33,174,110,525,57,399,69,202,100,90,12,121,67,40,6,21,4,2,2,0,46,34,3,9,4,72,15,2,6,7,23,4,11,8,20,9,7,4,14,2
DUNSTAN,Norwood (Adelaide),223,33,95,95,467,60,316,91,167,70,78,19,124,78,34,6,38,8,6,2,0,35,19,5,11,3,68,12,4,1,7,24,4,13,7,20,7,5,8,12,0
DUNSTAN,Norwood West,433,55,235,143,813,118,571,124,266,133,109,24,213,126,73,13,40,16,7,7,2,65,52,6,7,6,120,37,18,9,10,29,3,13,13,31,13,7,11,23,3
DUNSTAN,Rose Park,251,49,116,86,839,83,636,120,223,104,96,23,125,69,35,13,21,6,4,1,1,44,36,6,2,6,58,18,11,3,4,14,5,6,3,21,9,7,5,5,0
DUNSTAN,St Peters,438,54,234,150,1047,101,787,159,333,166,140,27,175,109,59,16,34,12,6,3,3,47,39,4,4,7,102,23,11,3,9,34,7,13,14,25,15,6,4,20,2
DUNSTAN,Felixstow,206,31,97,78,284,40,201,43,187,91,65,31,48,26,14,4,8,2,1,1,0,19,14,3,2,1,59,14,6,4,4,17,5,7,5,20,9,5,6,8,2
DUNSTAN,Glynde,522,96,254,172,697,134,450,113,346,171,136,39,121,69,28,9,32,8,5,1,2,40,27,4,9,4,167,42,22,9,11,44,8,17,19,41,8,18,15,40,3
DUNSTAN,Marden (Sturt),292,52,143,97,370,67,259,44,184,96,65,23,86,52,24,7,21,7,5,1,1,26,22,2,2,1,80,16,7,3,6,19,7,8,4,29,9,8,12,16,1
DUNSTAN,Trinity Gardens,482,76,270,136,747,113,540,94,410,227,145,38,151,80,38,12,30,14,7,4,3,52,42,4,6,5,159,34,13,6,15,38,7,18,13,45,20,11,14,42,3
ELDER,Colonel Light Gardens,364,56,194,114,832,113,636,83,472,208,227,37,162,77,38,7,32,12,7,4,1,70,49,11,10,3,118,26,12,4,10,34,7,12,15,39,16,9,14,19,0
ELDER,Daw Park,380,50,194,136,638,86,470,82,372,188,147,37,113,71,22,8,41,5,2,2,1,33,24,5,4,4,123,15,2,5,8,30,8,13,9,42,11,15,16,36,3
